review_time_s,available_time_s,available_time_h,success,reviewed_assets,accepted_assets
10,66832,18,0.01,6683,66
10,477085,132,0.01,47708,477
10,72484,20,0.01,7248,72
10,64310,17,0.01,6431,64
10,143860,39,0.01,14386,143
10,84486,23,0.01,8448,84
10,81230,22,0.01,8123,81
10,7136,1,0.01,713,7
10,75976,21,0.01,7597,75
10,298966,83,0.01,29896,298
10,415501,115,0.01,41550,415
10,64912,18,0.01,6491,64
10,99845,27,0.01,9984,99
10,34370,9,0.01,3437,34
10,81588,22,0.01,8158,81
10,141727,39,0.01,14172,141
10,19294,5,0.01,1929,19
10,66913,18,0.01,6691,66
10,92610,25,0.01,9261,92
10,608550,169,0.01,60855,608
10,958092,266,0.01,95809,958
10,128138,35,0.01,12813,128
10,22894,6,0.01,2289,22
10,14843,4,0.01,1484,14
10,26684,7,0.01,2668,26
10,74133,20,0.01,7413,74
10,40255,11,0.01,4025,40
10,72833,20,0.01,7283,72
10,35089,9,0.01,3508,35
10,105351,29,0.01,10535,105
10,176700,49,0.01,17670,176
10,347388,96,0.01,34738,347
10,116161,32,0.01,11616,116
10,34397,9,0.01,3439,34
10,33398,9,0.01,3339,33
10,41638,11,0.01,4163,41
10,709121,196,0.01,70912,709
10,38000,10,0.01,3800,38
10,58817,16,0.01,5881,58
10,47718,13,0.01,4771,47
10,62809,17,0.01,6280,62
10,86021,23,0.01,8602,86
10,35314,9,0.01,3531,35
10,62296,17,0.01,6229,62
10,22785,6,0.01,2278,22
10,616791,171,0.01,61679,616
10,27983,7,0.01,2798,27
10,57303,15,0.01,5730,57
10,58714,16,0.01,5871,58
10,53210,14,0.01,5321,53
10,36506,10,0.01,3650,36
10,350675,97,0.01,35067,350
10,25830,7,0.01,2583,25
10,38186,10,0.01,3818,38
10,31748,8,0.01,3174,31
10,75921,21,0.01,7592,75
10,393950,109,0.01,39395,393
10,16012,4,0.01,1601,16
10,28772,7,0.01,2877,28
10,40839,11,0.01,4083,40
10,127681,35,0.01,12768,127
10,99144,27,0.01,9914,99
10,57133,15,0.01,5713,57
10,18096,5,0.01,1809,18
10,618779,171,0.01,61877,618
10,64839,18,0.01,6483,64
10,136245,37,0.01,13624,136
10,82192,22,0.01,8219,82
10,45790,12,0.01,4579,45
10,134821,37,0.01,13482,134
10,245674,68,0.01,24567,245
10,48415,13,0.01,4841,48
10,16806,4,0.01,1680,16
10,116977,32,0.01,11697,116
10,576441,160,0.01,57644,576
10,140019,38,0.01,14001,140
10,62598,17,0.01,6259,62
10,13272,3,0.01,1327,13
10,113309,31,0.01,11330,113
10,59976,16,0.01,5997,59
10,358037,99,0.01,35803,358
10,128685,35,0.01,12868,128
10,168102,46,0.01,16810,168
10,124629,34,0.01,12462,124
10,31393,8,0.01,3139,31
10,841215,233,0.01,84121,841
10,118221,32,0.01,11822,118
10,108907,30,0.01,10890,108
10,46112,12,0.01,4611,46
10,123177,34,0.01,12317,123
10,203823,56,0.01,20382,203
10,40835,11,0.01,4083,40
10,57301,15,0.01,5730,57
10,98469,27,0.01,9846,98
10,84866,23,0.01,8486,84
10,91640,25,0.01,9164,91
10,124147,34,0.01,12414,124
10,43586,12,0.01,4358,43
10,4513,1,0.01,451,4
10,73337,20,0.01,7333,73
10,20674,5,0.01,2067,20
10,106433,29,0.01,10643,106
10,42874,11,0.01,4287,42
10,71080,19,0.01,7108,71
10,21330,5,0.01,2133,21
10,882924,245,0.01,88292,882
10,141310,39,0.01,14131,141
10,135168,37,0.01,13516,135
10,56324,15,0.01,5632,56
10,479018,133,0.01,47901,479
10,26558,7,0.01,2655,26
10,140661,39,0.01,14066,140
10,738957,205,0.01,73895,738
10,444787,123,0.01,44478,444
10,771666,214,0.01,77166,771
10,121528,33,0.01,12152,121
10,42395,11,0.01,4239,42
10,24776,6,0.01,2477,24
10,34686,9,0.01,3468,34
10,108733,30,0.01,10873,108
10,461256,128,0.01,46125,461
10,36891,10,0.01,3689,36
10,67636,18,0.01,6763,67
10,118949,33,0.01,11894,118
10,53834,14,0.01,5383,53
10,664237,184,0.01,66423,664
10,58066,16,0.01,5806,58
10,421667,117,0.01,42166,421
10,73238,20,0.01,7323,73
10,7338,2,0.01,733,7
10,64658,17,0.01,6465,64
10,106020,29,0.01,10602,106
10,123894,34,0.01,12389,123
10,103915,28,0.01,10391,103
10,59399,16,0.01,5939,59
10,88678,24,0.01,8867,88
10,291431,80,0.01,29143,291
10,48813,13,0.01,4881,48
10,135697,37,0.01,13569,135
10,102092,28,0.01,10209,102
10,38410,10,0.01,3841,38
10,66849,18,0.01,6684,66
10,139090,38,0.01,13909,139
10,87657,24,0.01,8765,87
10,43466,12,0.01,4346,43
10,134721,37,0.01,13472,134
10,108662,30,0.01,10866,108
10,46829,13,0.01,4682,46
10,127476,35,0.01,12747,127
10,130027,36,0.01,13002,130
10,737145,204,0.01,73714,737
10,68437,19,0.01,6843,68
10,90566,25,0.01,9056,90
10,128592,35,0.01,12859,128
10,121008,33,0.01,12100,121
10,105295,29,0.01,10529,105
10,595519,165,0.01,59551,595
10,106358,29,0.01,10635,106
10,702130,195,0.01,70213,702
10,72244,20,0.01,7224,72
10,83287,23,0.01,8328,83
10,127240,35,0.01,12724,127
10,13578,3,0.01,1357,13
10,6719,1,0.01,671,6
10,37359,10,0.01,3735,37
10,127192,35,0.01,12719,127
10,10549,2,0.01,1054,10
10,69449,19,0.01,6944,69
10,108573,30,0.01,10857,108
10,78098,21,0.01,7809,78
